facet_id,facet_name,raw_name,category,description,positive_indicators,negative_indicators,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,synonyms,related_facets,examples,keywords,retrieval_text
depression_symptoms,Depression Symptoms,Depression Symptoms,clinical_health,"Depression Symptoms (also: depressionness, depressionity, depressioning, clinical marker) is a clinical health facet that captures the degree to which a conversational turn exhibits 'depression symptoms'. Context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. A high score on Depression Symptoms indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates depression symptoms in their response"", ""The turn contains strong evidence of depression symptoms"", ""The speaker's language consistently reflects depression symptoms""]","[""Absence of any signal related to depression symptoms"", ""The turn contradicts or undermines depression symptoms"", ""No clinical health indicator for depression symptoms is present""]",No clinical signal related to depression symptoms.,Faint or indirect signal of depression symptoms.,Possible — ambiguous; clinical follow-up would be needed.,Likely — strong textual signal of depression symptoms; clinically notable.,"Definitive — unambiguous, quantified, or severe expression of depression symptoms.","[""depressionness"", ""depressionity"", ""depressioning"", ""clinical marker"", ""health indicator"", ""physiological signal""]","[""Moroseness"", ""Anxiety"", ""Compulsive Activities""]","[""A speaker says something that clearly reflects depression symptoms."", ""The conversation turn is dominated by depression symptoms.""]","[""depression"", ""symptoms"", ""depressionness"", ""depressionity"", ""depressioning"", ""clinical"", ""marker"", ""health"", ""indicator"", ""physiological"", ""signal"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""moroseness"", ""anxiety"", ""compulsive""]",
spatial_perception,Spatial Perception,Spatial perception,safety,"Spatial Perception (also: spatialness, spatiality, spatialing, risk signal) is a safety facet that captures the degree to which a conversational turn exhibits 'spatial perception'. Context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns present in a conversational turn. A high score on Spatial Perception indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates spatial perception in their response"", ""The turn contains strong evidence of spatial perception"", ""The speaker's language consistently reflects spatial perception""]","[""Absence of any signal related to spatial perception"", ""The turn contradicts or undermines spatial perception"", ""No safety indicator for spatial perception is present""]",Safe — no safety concern related to spatial perception.,Minor / borderline indication of spatial perception; not actionable alone.,Ambiguous — could be read as spatial perception depending on context.,Notable concern — clear instance of spatial perception; warrants review.,Severe — egregious instance of spatial perception; immediate action warranted.,"[""spatialness"", ""spatiality"", ""spatialing"", ""risk signal"", ""harm indicator"", ""safety concern""]","[""Manipulation"", ""Deception"", ""Hostility""]","[""A speaker says something that clearly reflects spatial perception."", ""The conversation turn is dominated by spatial perception.""]","[""spatial"", ""perception"", ""spatialness"", ""spatiality"", ""spatialing"", ""risk"", ""signal"", ""harm"", ""indicator"", ""safety"", ""concern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""manipulation"", ""deception"", ""hostility""]",
brevity,Brevity,Brevity,other,"Brevity (also: brevityness, brevityity, brevitying, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'brevity'. Context: Catch-all for facets that do not fit any profile. A high score on Brevity indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates brevity in their response"", ""The turn contains strong evidence of brevity"", ""The speaker's language consistently reflects brevity""]","[""Absence of any signal related to brevity"", ""The turn contradicts or undermines brevity"", ""No other indicator for brevity is present""]",Strongly absent — turn actively contradicts or shows the opposite of brevity.,Mostly absent — only weak or indirect signals of brevity.,Neutral / mixed — evidence is ambiguous or brevity is not clearly applicable.,"Mostly present — turn clearly displays brevity, though not in extreme form.","Strongly present — brevity is pronounced, unambiguous, and central to the message.","[""brevityness"", ""brevityity"", ""brevitying"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects brevity."", ""The conversation turn is dominated by brevity.""]","[""brevity"", ""brevityness"", ""brevityity"", ""brevitying"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
orderliness,Orderliness,Orderliness,other,"Orderliness (also: orderlinessness, orderlinessity, orderlinessing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'orderliness'. Context: Catch-all for facets that do not fit any profile. A high score on Orderliness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates orderliness in their response"", ""The turn contains strong evidence of orderliness"", ""The speaker's language consistently reflects orderliness""]","[""Absence of any signal related to orderliness"", ""The turn contradicts or undermines orderliness"", ""No other indicator for orderliness is present""]",Strongly absent — turn actively contradicts or shows the opposite of orderliness.,Mostly absent — only weak or indirect signals of orderliness.,Neutral / mixed — evidence is ambiguous or orderliness is not clearly applicable.,"Mostly present — turn clearly displays orderliness, though not in extreme form.","Strongly present — orderliness is pronounced, unambiguous, and central to the message.","[""orderlinessness"", ""orderlinessity"", ""orderlinessing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects orderliness."", ""The conversation turn is dominated by orderliness.""]","[""orderliness"", ""orderlinessness"", ""orderlinessity"", ""orderlinessing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
multiculturalism,Multiculturalism,Multiculturalism,spirituality_culture,"Multiculturalism (also: multiculturalismness, multiculturalismity, multiculturalisming, spiritual practice) is a spirituality culture facet that captures the degree to which a conversational turn exhibits 'multiculturalism'. Context: Spirituality, religion, culture, mindfulness practices, pilgrimage, sufi practice. A high score on Multiculturalism indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates multiculturalism in their response"", ""The turn contains strong evidence of multiculturalism"", ""The speaker's language consistently reflects multiculturalism""]","[""Absence of any signal related to multiculturalism"", ""The turn contradicts or undermines multiculturalism"", ""No spirituality culture indicator for multiculturalism is present""]",Absent — no reference to multiculturalism.,Tangential — brief or implicit reference to multiculturalism.,Present — multiculturalism mentioned as part of life.,Strong — multiculturalism clearly emphasised.,Central — multiculturalism is the dominant frame of the entire turn.,"[""multiculturalismness"", ""multiculturalismity"", ""multiculturalisming"", ""spiritual practice"", ""cultural expression"", ""religious behaviour""]","[""Mindfulness"", ""Pilgrimage Participation""]","[""A speaker says something that clearly reflects multiculturalism."", ""The conversation turn is dominated by multiculturalism.""]","[""multiculturalism"", ""multiculturalismness"", ""multiculturalismity"", ""multiculturalisming"", ""spiritual"", ""practice"", ""cultural"", ""expression"", ""religious"", ""behaviour"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""mindfulness"", ""pilgrimage"", ""participation""]",
creative_risk_taking_tendency,Creative Risk-Taking Tendency,Creative risk-taking tendency,cognitive,"Creative Risk-Taking Tendency (also: creativeness, creativeity, creativeing, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'creative risk-taking tendency'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Creative Risk-Taking Tendency indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates creative risk-taking tendency in their response"", ""The turn contains strong evidence of creative risk-taking tendency"", ""The speaker's language consistently reflects creative risk-taking tendency""]","[""Absence of any signal related to creative risk-taking tendency"", ""The turn contradicts or undermines creative risk-taking tendency"", ""No cognitive indicator for creative risk-taking tendency is present""]",No application of creative risk-taking tendency; reasoning absent or clearly wrong.,Superficial or partial application of creative risk-taking tendency.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of creative risk-taking tendency with depth.","Expert — sophisticated, fully-correct demonstration of creative risk-taking tendency.","[""creativeness"", ""creativeity"", ""creativeing"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects creative risk-taking tendency."", ""The conversation turn is dominated by creative risk-taking tendency.""]","[""creative"", ""risk"", ""taking"", ""tendency"", ""creativeness"", ""creativeity"", ""creativeing"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity""]",
inefficiency,Inefficiency,Inefficiency,other,"Inefficiency (also: inefficiencyness, inefficiencyity, inefficiencying, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'inefficiency'. Context: Catch-all for facets that do not fit any profile. A high score on Inefficiency indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates inefficiency in their response"", ""The turn contains strong evidence of inefficiency"", ""The speaker's language consistently reflects inefficiency""]","[""Absence of any signal related to inefficiency"", ""The turn contradicts or undermines inefficiency"", ""No other indicator for inefficiency is present""]",Strongly absent — turn actively contradicts or shows the opposite of inefficiency.,Mostly absent — only weak or indirect signals of inefficiency.,Neutral / mixed — evidence is ambiguous or inefficiency is not clearly applicable.,"Mostly present — turn clearly displays inefficiency, though not in extreme form.","Strongly present — inefficiency is pronounced, unambiguous, and central to the message.","[""inefficiencyness"", ""inefficiencyity"", ""inefficiencying"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects inefficiency."", ""The conversation turn is dominated by inefficiency.""]","[""inefficiency"", ""inefficiencyness"", ""inefficiencyity"", ""inefficiencying"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
network_basics,Network Basics,Network basics,other,"Network Basics (also: networkness, networkity, networking, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'network basics'. Context: Catch-all for facets that do not fit any profile. A high score on Network Basics indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates network basics in their response"", ""The turn contains strong evidence of network basics"", ""The speaker's language consistently reflects network basics""]","[""Absence of any signal related to network basics"", ""The turn contradicts or undermines network basics"", ""No other indicator for network basics is present""]",Strongly absent — turn actively contradicts or shows the opposite of network basics.,Mostly absent — only weak or indirect signals of network basics.,Neutral / mixed — evidence is ambiguous or network basics is not clearly applicable.,"Mostly present — turn clearly displays network basics, though not in extreme form.","Strongly present — network basics is pronounced, unambiguous, and central to the message.","[""networkness"", ""networkity"", ""networking"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects network basics."", ""The conversation turn is dominated by network basics.""]","[""network"", ""basics"", ""networkness"", ""networkity"", ""networking"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
alphabetical_filing_skills,Alphabetical Filing Skills,Alphabetical filing skills,cognitive,"Alphabetical Filing Skills (also: alphabeticalness, alphabeticality, alphabeticaling, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'alphabetical filing skills'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Alphabetical Filing Skills indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates alphabetical filing skills in their response"", ""The turn contains strong evidence of alphabetical filing skills"", ""The speaker's language consistently reflects alphabetical filing skills""]","[""Absence of any signal related to alphabetical filing skills"", ""The turn contradicts or undermines alphabetical filing skills"", ""No cognitive indicator for alphabetical filing skills is present""]",No application of alphabetical filing skills; reasoning absent or clearly wrong.,Superficial or partial application of alphabetical filing skills.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of alphabetical filing skills with depth.","Expert — sophisticated, fully-correct demonstration of alphabetical filing skills.","[""alphabeticalness"", ""alphabeticality"", ""alphabeticaling"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects alphabetical filing skills."", ""The conversation turn is dominated by alphabetical filing skills.""]","[""alphabetical"", ""filing"", ""skills"", ""alphabeticalness"", ""alphabeticality"", ""alphabeticaling"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""common""]",
work_styles,Work Styles,Work Styles,other,"Work Styles (also: workness, workity, working, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'work styles'. Context: Catch-all for facets that do not fit any profile. A high score on Work Styles indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates work styles in their response"", ""The turn contains strong evidence of work styles"", ""The speaker's language consistently reflects work styles""]","[""Absence of any signal related to work styles"", ""The turn contradicts or undermines work styles"", ""No other indicator for work styles is present""]",Strongly absent — turn actively contradicts or shows the opposite of work styles.,Mostly absent — only weak or indirect signals of work styles.,Neutral / mixed — evidence is ambiguous or work styles is not clearly applicable.,"Mostly present — turn clearly displays work styles, though not in extreme form.","Strongly present — work styles is pronounced, unambiguous, and central to the message.","[""workness"", ""workity"", ""working"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects work styles."", ""The conversation turn is dominated by work styles.""]","[""work"", ""styles"", ""workness"", ""workity"", ""working"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
character_strength_perseverance,Character Strength: Perseverance,Character strength: Perseverance,personality,"Character Strength: Perseverance (also: characterness, characterity, charactering, trait) is a personality facet that captures the degree to which a conversational turn exhibits 'character strength: perseverance'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Character Strength: Perseverance indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates character strength: perseverance in their response"", ""The turn contains strong evidence of character strength: perseverance"", ""The speaker's language consistently reflects character strength: perseverance""]","[""Absence of any signal related to character strength: perseverance"", ""The turn contradicts or undermines character strength: perseverance"", ""No personality indicator for character strength: perseverance is present""]",Strong opposite tendency — behaviour is antithetical to character strength: perseverance.,Weak or incidental signal; character strength: perseverance is mostly absent.,Mixed — some evidence of character strength: perseverance but also contradictory signals.,Clearly present — turn shows consistent evidence of character strength: perseverance.,"Strongly exemplifies character strength: perseverance; central, pronounced, unmistakable.","[""characterness"", ""characterity"", ""charactering"", ""trait"", ""disposition"", ""character quality""]","[""Integrity"", ""Courage"", ""Honesty"", ""Assertiveness""]","[""A speaker says something that clearly reflects character strength: perseverance."", ""The conversation turn is dominated by character strength: perseverance.""]","[""character"", ""strength"", ""perseverance"", ""characterness"", ""characterity"", ""charactering"", ""trait"", ""disposition"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""integrity"", ""courage"", ""honesty"", ""assertiveness""]",
competition,Competition,Competition,emotion,"Competition (also: competitionness, competitionity, competitioning, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'competition'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Competition indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates competition in their response"", ""The turn contains strong evidence of competition"", ""The speaker's language consistently reflects competition""]","[""Absence of any signal related to competition"", ""The turn contradicts or undermines competition"", ""No emotion indicator for competition is present""]",Opposite affect — turn expresses the emotional antithesis of competition.,Minimal emotional signal toward competition; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to competition.",Moderate — clear emotional expression aligned with competition.,Intense — competition dominates the turn; highly expressive and unambiguous.,"[""competitionness"", ""competitionity"", ""competitioning"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth"", ""Moroseness""]","[""A speaker says something that clearly reflects competition."", ""The conversation turn is dominated by competition.""]","[""competition"", ""competitionness"", ""competitionity"", ""competitioning"", ""emotional"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy"", ""warmth"", ""moroseness""]",
logical_sequence_identification,Logical Sequence Identification,Logical Sequence Identification,cognitive,"Logical Sequence Identification (also: logicalness, logicality, logicaling, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'logical sequence identification'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Logical Sequence Identification indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates logical sequence identification in their response"", ""The turn contains strong evidence of logical sequence identification"", ""The speaker's language consistently reflects logical sequence identification""]","[""Absence of any signal related to logical sequence identification"", ""The turn contradicts or undermines logical sequence identification"", ""No cognitive indicator for logical sequence identification is present""]",No application of logical sequence identification; reasoning absent or clearly wrong.,Superficial or partial application of logical sequence identification.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of logical sequence identification with depth.","Expert — sophisticated, fully-correct demonstration of logical sequence identification.","[""logicalness"", ""logicality"", ""logicaling"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects logical sequence identification."", ""The conversation turn is dominated by logical sequence identification.""]","[""logical"", ""sequence"", ""identification"", ""logicalness"", ""logicality"", ""logicaling"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""common""]",
sustainable_transport_usage,Sustainable-Transport Usage,Sustainable-transport usage,other,"Sustainable-Transport Usage (also: sustainabletransportness, sustainabletransportity, sustainabletransporting, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'sustainable-transport usage'. Context: Catch-all for facets that do not fit any profile. A high score on Sustainable-Transport Usage indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates sustainable-transport usage in their response"", ""The turn contains strong evidence of sustainable-transport usage"", ""The speaker's language consistently reflects sustainable-transport usage""]","[""Absence of any signal related to sustainable-transport usage"", ""The turn contradicts or undermines sustainable-transport usage"", ""No other indicator for sustainable-transport usage is present""]",Strongly absent — turn actively contradicts or shows the opposite of sustainable-transport usage.,Mostly absent — only weak or indirect signals of sustainable-transport usage.,Neutral / mixed — evidence is ambiguous or sustainable-transport usage is not clearly applicable.,"Mostly present — turn clearly displays sustainable-transport usage, though not in extreme form.","Strongly present — sustainable-transport usage is pronounced, unambiguous, and central to the message.","[""sustainabletransportness"", ""sustainabletransportity"", ""sustainabletransporting"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects sustainable-transport usage."", ""The conversation turn is dominated by sustainable-transport usage.""]","[""sustainable"", ""transport"", ""usage"", ""sustainabletransportness"", ""sustainabletransportity"", ""sustainabletransporting"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
hardworking,Hardworking,Hardworking,other,"Hardworking (also: hardworkingness, hardworkingity, hardworkinging, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'hardworking'. Context: Catch-all for facets that do not fit any profile. A high score on Hardworking indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates hardworking in their response"", ""The turn contains strong evidence of hardworking"", ""The speaker's language consistently reflects hardworking""]","[""Absence of any signal related to hardworking"", ""The turn contradicts or undermines hardworking"", ""No other indicator for hardworking is present""]",Strongly absent — turn actively contradicts or shows the opposite of hardworking.,Mostly absent — only weak or indirect signals of hardworking.,Neutral / mixed — evidence is ambiguous or hardworking is not clearly applicable.,"Mostly present — turn clearly displays hardworking, though not in extreme form.","Strongly present — hardworking is pronounced, unambiguous, and central to the message.","[""hardworkingness"", ""hardworkingity"", ""hardworkinging"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects hardworking."", ""The conversation turn is dominated by hardworking.""]","[""hardworking"", ""hardworkingness"", ""hardworkingity"", ""hardworkinging"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
emotional_intelligence_measure_impulsiveness,Emotional-Intelligence Measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,emotion,"Emotional-Intelligence Measure: Impulsiveness (also: emotionalintelligenceity, emotionalintelligenceing, measureness, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'emotional-intelligence measure: impulsiveness'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Emotional-Intelligence Measure: Impulsiveness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates emotional-intelligence measure: impulsiveness in their response"", ""The turn contains strong evidence of emotional-intelligence measure: impulsiveness"", ""The speaker's language consistently reflects emotional-intelligence measure: impulsiveness""]","[""Absence of any signal related to emotional-intelligence measure: impulsiveness"", ""The turn contradicts or undermines emotional-intelligence measure: impulsiveness"", ""No emotion indicator for emotional-intelligence measure: impulsiveness is present""]",Opposite affect — turn expresses the emotional antithesis of emotional-intelligence measure: impulsiveness.,Minimal emotional signal toward emotional-intelligence measure: impulsiveness; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to emotional-intelligence measure: impulsiveness.",Moderate — clear emotional expression aligned with emotional-intelligence measure: impulsiveness.,Intense — emotional-intelligence measure: impulsiveness dominates the turn; highly expressive and unambiguous.,"[""emotionalintelligenceity"", ""emotionalintelligenceing"", ""measureness"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth"", ""Moroseness""]","[""A speaker says something that clearly reflects emotional-intelligence measure: impulsiveness."", ""The conversation turn is dominated by emotional-intelligence measure: impulsiveness.""]","[""emotional"", ""intelligence"", ""measure"", ""impulsiveness"", ""emotionalintelligenceity"", ""emotionalintelligenceing"", ""measureness"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy""]",
dishonesty,Dishonesty,Dishonesty,personality,"Dishonesty (also: truthfulness, candour, sincerity, transparency) is a personality facet that captures the degree to which a conversational turn exhibits 'dishonesty'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Dishonesty indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""admitted a mistake unprompted"", ""told the truth despite consequences"", ""refused to hide relevant information""]","[""withheld critical information"", ""told half-truths to avoid conflict"", ""claimed credit for others' work""]",Strong opposite tendency — behaviour is antithetical to dishonesty.,Weak or incidental signal; dishonesty is mostly absent.,Mixed — some evidence of dishonesty but also contradictory signals.,Clearly present — turn shows consistent evidence of dishonesty.,"Strongly exemplifies dishonesty; central, pronounced, unmistakable.","[""truthfulness"", ""candour"", ""sincerity"", ""transparency"", ""frankness"", ""integrity"", ""forthrightness"", ""dishonestyness""]","[""integrity"", ""authenticity"", ""courage"", ""trust""]","[""I admitted the mistake even though I knew I'd be blamed."", ""I told my manager the project timeline was unrealistic."", ""He revealed the conflict of interest before the meeting.""]","[""dishonesty"", ""truthfulness"", ""candour"", ""sincerity"", ""transparency"", ""frankness"", ""integrity"", ""forthrightness"", ""dishonestyness"", ""admitted"", ""mistake"", ""told"", ""truth"", ""refused"", ""hide"", ""authenticity"", ""courage"", ""trust""]",
preferred_epistemology,Preferred Epistemology,Preferred epistemology,other,"Preferred Epistemology (also: preferredness, preferredity, preferreding, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'preferred epistemology'. Context: Catch-all for facets that do not fit any profile. A high score on Preferred Epistemology indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates preferred epistemology in their response"", ""The turn contains strong evidence of preferred epistemology"", ""The speaker's language consistently reflects preferred epistemology""]","[""Absence of any signal related to preferred epistemology"", ""The turn contradicts or undermines preferred epistemology"", ""No other indicator for preferred epistemology is present""]",Strongly absent — turn actively contradicts or shows the opposite of preferred epistemology.,Mostly absent — only weak or indirect signals of preferred epistemology.,Neutral / mixed — evidence is ambiguous or preferred epistemology is not clearly applicable.,"Mostly present — turn clearly displays preferred epistemology, though not in extreme form.","Strongly present — preferred epistemology is pronounced, unambiguous, and central to the message.","[""preferredness"", ""preferredity"", ""preferreding"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects preferred epistemology."", ""The conversation turn is dominated by preferred epistemology.""]","[""preferred"", ""epistemology"", ""preferredness"", ""preferredity"", ""preferreding"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
memory_for_sounds,Memory For Sounds,Memory for Sounds,other,"Memory For Sounds (also: memoryness, memoryity, memorying, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'memory for sounds'. Context: Catch-all for facets that do not fit any profile. A high score on Memory For Sounds indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates memory for sounds in their response"", ""The turn contains strong evidence of memory for sounds"", ""The speaker's language consistently reflects memory for sounds""]","[""Absence of any signal related to memory for sounds"", ""The turn contradicts or undermines memory for sounds"", ""No other indicator for memory for sounds is present""]",Strongly absent — turn actively contradicts or shows the opposite of memory for sounds.,Mostly absent — only weak or indirect signals of memory for sounds.,Neutral / mixed — evidence is ambiguous or memory for sounds is not clearly applicable.,"Mostly present — turn clearly displays memory for sounds, though not in extreme form.","Strongly present — memory for sounds is pronounced, unambiguous, and central to the message.","[""memoryness"", ""memoryity"", ""memorying"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects memory for sounds."", ""The conversation turn is dominated by memory for sounds.""]","[""memory"", ""for"", ""sounds"", ""memoryness"", ""memoryity"", ""memorying"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
